"Business Unit ","Supplier Name","Supplier Number","Supplier Site Code","Legal Entity Name","Invoice Number","Invoice Amount","Invoice Type","Invoice Date","Invoice Source","Payment Term","Invoice Currency","Payment Currency","Invoice Status ","Amount Paid","Payment Date","GL Date","Line Number","Line Type","Line Amount","PO Line Status ","Tax Classification Code","Overlay Dist Code Concat","PO Number ","Invoice Image URL"
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,84,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,85,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,86,"Item",7.14,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,87,"Item",7.66,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,88,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,89,"Item",4.94,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,90,"Item",4.39,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,91,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,92,"Item",3.84,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,93,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,94,"Item",5.60,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
